publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2022-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,19,observed,19,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R106C3,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,55 years and over,55 years and over,2019–20,02 Acts intended to cause injury,Age,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R106C5,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,55 years and over,55 years and over,2019–20,03 Sexual assault and related offences,Age,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R106C6,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,55 years and over,55 years and over,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R106C7,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,55 years and over,55 years and over,2019–20,05 Abduction/ harassment,Age,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R106C9,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,55 years and over,55 years and over,2019–20,121 Property damage,Age,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,6,observed,6,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R106C10,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,55 years and over,55 years and over,2019–20,1531 Breach of violence order,Age,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,31,observed,31,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R106C11,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,55 years and over,55 years and over,2019–20,Total,Age,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C2,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20,01 Homicide and related offences,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,41,observed,41,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C4,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20,021 Assault,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C8,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,42,observed,42,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C3,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20,02 Acts intended to cause injury,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C5,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20,03 Sexual assault and related offences,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C6,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20,049 Other dangerous or negligent acts,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C7,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20,05 Abduction/ harassment,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,7,observed,7,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C9,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20,121 Property damage,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_ACQUITTED,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_METHOD_OF_FINALISATION,ACT,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,5,observed,5,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 13,R117C10,sha256:da7b283609a5267153c1e202c8bf5b172938c21571d8b8ff5bdc30adb2e24c09,criminal-courts-australia,sha256:35a7b35edcc4e144eb25cb50da4863bbd757e18a66897e93f2b87478f4bc6a20,tidy.table-family-acceptance/v2,sha256:1c19d7ca588526fa9ee6284b445e33d453fa66040ec384a3e5d172619616824d,sha256:483aa6966fd28e6551e425416c10a0db726db3cdc0a3da3122838b749ba60f18,sha256:10eab5ad2c3806b7d38fbe3de8ecf44c2f34ddba80761197c8c7d5ee732f268b,human-authored/deterministic-map-v1,replay:sha256:a8921213b3fc00559ae2e1a9de41d591d0653101c9128ee0e511cf4ebda64648,Acquitted,Acquitted,2019–20,1531 Breach of violence order,Method of finalisation,"FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22","FDV Table 13 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Australian Capital Territory, 2019–20 to 2021–22"
