publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2024-06-30,2020-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_PRINCIPAL_SENTENCE,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,17,observed,17,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R216C6,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Custody in a correctional institution,Custody in a correctional institution,2019–20,049 Other dangerous or negligent acts,Principal sentence(f),"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_PRINCIPAL_SENTENCE,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,39,observed,39,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R216C7,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Custody in a correctional institution,Custody in a correctional institution,2019–20,05 Abduction/ harassment,Principal sentence(f),"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_PRINCIPAL_SENTENCE,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,19,observed,19,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R216C9,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Custody in a correctional institution,Custody in a correctional institution,2019–20,121 Property damage,Principal sentence(f),"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_PRINCIPAL_SENTENCE,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,161,observed,161,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R216C10,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Custody in a correctional institution,Custody in a correctional institution,2019–20,1531 Breach of violence order,Principal sentence(f),"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_PRINCIPAL_SENTENCE,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,604,observed,604,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R216C11,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Custody in a correctional institution,Custody in a correctional institution,2019–20,Total,Principal sentence(f),"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,0,observed,0,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C2,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,01 Homicide and related offences,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,285,observed,285,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C4,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,021 Assault,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,28,observed,28,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C8,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,284,observed,284,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C3,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,02 Acts intended to cause injury,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,4,observed,4,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C5,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,03 Sexual assault and related offences,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,13,observed,13,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C6,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,049 Other dangerous or negligent acts,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,24,observed,24,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C7,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,05 Abduction/ harassment,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,91,observed,91,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C9,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,121 Property damage,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,398,observed,398,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C10,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,1531 Breach of violence order,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_FEMALES,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_SEX,WA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,819,observed,819,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 10,R185C11,sha256:6b20ed81084a7af4263eabedff0a01a820d8c93ac166a70245c7227322c5e2a1,criminal-courts-australia,sha256:b6d5dd1a0fac68cdffe2f15a0d539892b0fcb2852a47229f03a118a2f5cba2eb,tidy.table-family-acceptance/v2,sha256:e6d5fd2690cc114f8b7d8c3cba94d7865f9c3ec701a9838c5e9cf604c1cbec0e,sha256:81b901f4f3182f3be3d9aa425f6b6f8ec638027dac310bab1500af8ee7c6a582,sha256:278a76135a5f607b72e136b256c557856a028c2efb6f703affd78d9746a5a950,human-authored/deterministic-map-v1,replay:sha256:e96d6d67cb74f8ed108b63238f2d8946a372fee261094313c4aa3c254d5ecaec,Females,Females,2019–20,Total,Sex,"FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24","FDV Table 10 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, Western Australia, 2019–20 to 2023–24"
