reference_date,observation_period_id,jurisdiction_id,indigenous_status_id,sex_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_observation_period,raw_jurisdiction,raw_indigenous_status,raw_sex
2021-06-30,2011_72d1b5da,NSW_647faf01,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,MALES_66d5f994,published-value,published-unit,9.5,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R121C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NSW,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Males
2021-06-30,2011_72d1b5da,NSW_647faf01,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,PERSONS_4d6dccab,published-value,published-unit,9.7,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R157C2,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NSW,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Persons
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,published-value,published-unit,192.4,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R31C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,ABORIGINAL AND TORRES STRAIT ISLANDER,Females
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,MALES_66d5f994,published-value,published-unit,3846.5,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R13C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,ABORIGINAL AND TORRES STRAIT ISLANDER,Males
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,PERSONS_4d6dccab,published-value,published-unit,2008.8,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R49C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,NON_INDIGENOUS_2f231fea,FEMALES_29864773,published-value,published-unit,,suppressed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R85C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,NON-INDIGENOUS,Females
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,NON_INDIGENOUS_2f231fea,MALES_66d5f994,published-value,published-unit,314.3,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R67C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,NON-INDIGENOUS,Males
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,NON_INDIGENOUS_2f231fea,PERSONS_4d6dccab,published-value,published-unit,174.1,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R103C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,NON-INDIGENOUS,Persons
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,FEMALES_29864773,published-value,published-unit,,not_applicable,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R139C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Females
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,MALES_66d5f994,published-value,published-unit,12.2,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R121C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Males
2021-06-30,2011_72d1b5da,NT_ff9ec9f7,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,PERSONS_4d6dccab,published-value,published-unit,11.5,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R157C8,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,NT,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Persons
2021-06-30,2011_72d1b5da,QLD_cfd8a309,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,published-value,published-unit,206.7,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R31C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,ABORIGINAL AND TORRES STRAIT ISLANDER,Females
2021-06-30,2011_72d1b5da,QLD_cfd8a309,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,MALES_66d5f994,published-value,published-unit,2262.9,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R13C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,ABORIGINAL AND TORRES STRAIT ISLANDER,Males
2021-06-30,2011_72d1b5da,QLD_cfd8a309,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,PERSONS_4d6dccab,published-value,published-unit,1207.4,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R49C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons
2021-06-30,2011_72d1b5da,QLD_cfd8a309,NON_INDIGENOUS_2f231fea,FEMALES_29864773,published-value,published-unit,17.3,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R85C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,NON-INDIGENOUS,Females
2021-06-30,2011_72d1b5da,QLD_cfd8a309,NON_INDIGENOUS_2f231fea,MALES_66d5f994,published-value,published-unit,227.1,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R67C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,NON-INDIGENOUS,Males
2021-06-30,2011_72d1b5da,QLD_cfd8a309,NON_INDIGENOUS_2f231fea,PERSONS_4d6dccab,published-value,published-unit,122.1,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R103C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,NON-INDIGENOUS,Persons
2021-06-30,2011_72d1b5da,QLD_cfd8a309,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,FEMALES_29864773,published-value,published-unit,12,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R139C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Females
2021-06-30,2011_72d1b5da,QLD_cfd8a309,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,MALES_66d5f994,published-value,published-unit,10,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R121C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Males
2021-06-30,2011_72d1b5da,QLD_cfd8a309,RATIO_OF_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_TO_NON_INDIGENOUS_5b1a9b07,PERSONS_4d6dccab,published-value,published-unit,9.9,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R157C4,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,Qld,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,Persons
2021-06-30,2011_72d1b5da,SA_360bf3a8,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,published-value,published-unit,232.3,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R31C5,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,SA,ABORIGINAL AND TORRES STRAIT ISLANDER,Females
2021-06-30,2011_72d1b5da,SA_360bf3a8,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,MALES_66d5f994,published-value,published-unit,3659,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R13C5,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,SA,ABORIGINAL AND TORRES STRAIT ISLANDER,Males
2021-06-30,2011_72d1b5da,SA_360bf3a8,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,PERSONS_4d6dccab,published-value,published-unit,1869.1,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R49C5,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,SA,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons
2021-06-30,2011_72d1b5da,SA_360bf3a8,NON_INDIGENOUS_2f231fea,FEMALES_29864773,published-value,published-unit,15.7,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R85C5,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,SA,NON-INDIGENOUS,Females
2021-06-30,2011_72d1b5da,SA_360bf3a8,NON_INDIGENOUS_2f231fea,MALES_66d5f994,published-value,published-unit,253.4,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R67C5,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,SA,NON-INDIGENOUS,Males
2021-06-30,2011_72d1b5da,SA_360bf3a8,NON_INDIGENOUS_2f231fea,PERSONS_4d6dccab,published-value,published-unit,134.8,observed,sha256:fed7b3fdf9480058893f0219939a32c50b1bed552987506f2efaa4aaa564fb38,Table_42,R103C5,sha256:45b9434603470ada5342ab23c5a837f85e5b8f366b96d1332a4c263a7a2e40a1,prisoners-in-australia,sha256:3679ecc3ec7e274aba23a70b3743e4a43f5702187f8ef49eb870cdb4d876e2a4,tidy.table-family-acceptance/v2,sha256:00b6288032e1592b68bf181256c8c296d066638e6f145bfe8e80107d4315fa31,sha256:ebdb3ac67f2eb2ef793c5b03c8f8aa04c313dd78bbc455747818803bc6a34b34,sha256:f7e576eb1e437492eafe7a37ded66577f9627ccc1e7b993838fad4ca5bbe6a32,human-authored/deterministic-geometry-v1,replay:sha256:bbc01e4c8255b31e9c4e9c2a0c97b3c97fda8e38eacb04f29c5426f12ada78b9,2011,SA,NON-INDIGENOUS,Persons
